itemId,name,jobRestriction,slot,requiredLevel,requiredSTR,requiredDEX,requiredINT,requiredLUK,strBonus,dexBonus,intBonus,lukBonus,attackPower,magicPower,accuracy,avoidability,physicalDefense,magicDefense,criticalRate,moveSpeed,attackSpeed,buyPrice,sellPrice,description
WAR_GLOVE_002,견습 기사 장갑,WARRIOR,GLOVE,5,15,5,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,420,126,검을 처음 쥔 훈련병을 위해 만든 장갑. 손바닥 부분이 덧대어져 미끄러짐을 줄여준다.
WAR_GLOVE_003,청동 건틀릿,WARRIOR,GLOVE,10,30,10,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,980,294,청동판으로 손등을 감싼 건틀릿. 주먹을 쥐면 묵직한 안정감이 느껴진다.
WAR_GLOVE_004,강철 건틀릿,WARRIOR,GLOVE,15,45,15,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,1960,588,강철로 제작된 전투 건틀릿. 검격의 충격을 손목까지 단단히 지탱해준다.
WAR_GLOVE_005,기사단 건틀릿,WARRIOR,GLOVE,20,60,20,0,0,8,4,0,0,5,0,0,0,0,0,0,0,0,3500,1050,기사단 근위병이 사용하는 건틀릿. 세밀한 관절 구조 덕분에 방어와 공격을 모두 보조한다.
WAR_SHOES_001,낡은 군화,WARRIOR,SHOES,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,130,39,흙과 먼지가 깊게 배어든 오래된 군화. 밑창은 닳았지만 험한 길을 걷는 데 익숙하다.
WAR_SHOES_002,견습 군화,WARRIOR,SHOES,5,15,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,390,117,기사단 훈련소에서 지급하는 군화. 달리기와 기초 검술 훈련에 맞춰 가볍게 제작되었다.
WAR_SHOES_003,청동 군화,WARRIOR,SHOES,10,30,10,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,910,273,청동 보호판이 덧대어진 군화. 발등을 보호하면서도 크게 둔하지 않다.
WAR_SHOES_004,강철 군화,WARRIOR,SHOES,15,45,15,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,1820,546,강철 발끝이 달린 군화. 거친 전장에서도 발을 단단히 지켜준다.
WAR_SHOES_005,기사단 군화,WARRIOR,SHOES,20,60,20,0,0,7,4,0,0,0,0,0,0,0,0,0,3,0,3250,975,정예 기사들이 착용하는 군화. 긴 행군 후에도 자세가 무너지지 않도록 설계되었다.
WAR_WEAPON_001,초보자 검,WARRIOR,WEAPON,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,360,108,모험가 길드에서 지급하는 연습용 검. 날은 무디지만 검술의 기초를 익히기 좋다.
WAR_WEAPON_002,녹슨 장검,WARRIOR,WEAPON,5,15,5,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,1080,324,수많은 손을 거친 낡은 장검. 녹을 닦아내면 아직 전투에 쓸 수 있다.
WAR_WEAPON_003,청동 장검,WARRIOR,WEAPON,10,30,10,0,0,4,1,0,0,15,0,0,0,0,0,0,0,0,2520,756,청동으로 만든 균형 잡힌 장검. 초보 기사가 본격적인 전투에 나설 때 사용한다.
WAR_WEAPON_004,강철 장검,WARRIOR,WEAPON,15,45,15,0,0,6,2,0,0,22,0,0,0,0,0,0,0,0,5040,1512,강철을 단련해 만든 장검. 무게감 있는 일격으로 적의 방어를 흔든다.
WAR_WEAPON_005,기사단 대검,WARRIOR,WEAPON,20,60,20,0,0,10,5,0,0,30,0,0,0,0,0,0,0,0,9000,2700,기사단 정예병이 사용하는 대검. 넓은 검신에는 오래된 맹세의 문양이 새겨져 있다.
MAG_HAT_001,낡은 마법 모자,MAGE,HAT,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,120,36,챙 끝이 해진 마법 모자. 희미하지만 오래된 주문의 흔적이 천에 남아 있다.
MAG_HAT_002,견습 마도사 모자,MAGE,HAT,5,0,0,15,5,0,0,4,2,0,0,0,0,0,4,0,0,0,360,108,마법학교 견습생이 착용하는 모자. 정신을 집중하기 쉽도록 가볍게 만들어졌다.
MAG_HAT_003,초록 마법 모자,MAGE,HAT,10,0,0,30,10,0,0,6,3,0,0,0,0,0,7,0,0,0,840,252,초록빛 천에 작은 룬이 수놓인 모자. 자연의 기운을 다루는 마도사들이 선호한다.
MAG_HAT_004,푸른 마법 모자,MAGE,HAT,15,0,0,45,15,0,0,8,4,0,0,0,0,0,10,0,0,0,1680,504,푸른 마력 실로 짜인 모자. 차분한 마나 흐름을 유지하도록 돕는다고 알려져 있다.
MAG_HAT_005,현자의 모자,MAGE,HAT,20,0,0,60,20,0,0,10,5,0,0,0,0,0,15,0,0,0,3000,900,현자의 서재에서 전해 내려온 모자. 낡은 천 사이로도 깊은 지혜의 기운이 느껴진다.
MAG_TOP_001,낡은 마법 로브,MAGE,TOP,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,180,54,오래된 천으로 만든 로브. 소매 끝에 그을린 자국이 남아 있어 초보 마법 실습의 흔적을 보여준다.
MAG_TOP_002,견습 마도사 로브,MAGE,TOP,5,0,0,15,5,0,0,4,2,0,0,0,0,0,6,0,0,0,540,162,견습 마도사들이 수업 중 착용하는 로브. 움직임보다 마나 안정성에 중점을 두었다.
MAG_TOP_003,초록 마법 로브,MAGE,TOP,10,0,0,30,10,0,0,6,3,0,0,0,0,0,10,0,0,0,1260,378,초록빛 룬 자수가 새겨진 로브. 숲에서 수행하던 마법사들이 즐겨 입었다.
MAG_TOP_004,푸른 마법 로브,MAGE,TOP,15,0,0,45,15,0,0,8,4,0,0,0,0,0,15,0,0,0,2520,756,푸른 수정 가루로 염색한 로브. 주문 시전 중 마나가 흐트러지는 것을 막아준다.
MAG_TOP_005,현자의 로브,MAGE,TOP,20,0,0,60,20,0,0,10,5,0,0,0,0,0,22,0,0,0,4500,1350,현자의 문장이 안감에 숨겨진 로브. 오랜 연구와 수행의 흔적이 스며 있다.
MAG_BOTTOM_001,낡은 마법 바지,MAGE,BOTTOM,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,160,48,무릎 부분이 해진 마법 바지. 실험실과 도서관을 오가던 초보 마법사의 흔적이 남아 있다.
MAG_BOTTOM_002,견습 마도사 바지,MAGE,BOTTOM,5,0,0,15,5,0,0,3,2,0,0,0,0,0,5,0,0,0,480,144,마법학교에서 지급하는 바지. 로브 아래 착용해도 불편하지 않도록 얇게 제작되었다.
MAG_BOTTOM_003,초록 마법 바지,MAGE,BOTTOM,10,0,0,30,10,0,0,5,3,0,0,0,0,0,8,0,0,0,1120,336,초록색 천으로 만든 마법 바지. 숲의 이슬에도 쉽게 젖지 않도록 처리되어 있다.
MAG_BOTTOM_004,푸른 마법 바지,MAGE,BOTTOM,15,0,0,45,15,0,0,7,4,0,0,0,0,0,12,0,0,0,2240,672,푸른 마나 실이 섞인 바지. 긴 주문 의식 중에도 안정적인 자세를 유지하게 해준다.
MAG_BOTTOM_005,현자의 바지,MAGE,BOTTOM,20,0,0,60,20,0,0,9,5,0,0,0,0,0,18,0,0,0,4000,1200,현자가 긴 여행 중 착용했다는 바지. 단순한 외형과 달리 마법적 보존 처리가 되어 있다.
MAG_GLOVE_001,낡은 마법 장갑,MAGE,GLOVE,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,140,42,손끝이 살짝 닳은 마법 장갑. 작은 마법진을 그리기 위한 감각은 아직 살아 있다.
MAG_GLOVE_002,견습 마도사 장갑,MAGE,GLOVE,5,0,0,15,5,0,0,2,2,0,1,0,0,0,0,0,0,0,420,126,마법 입문자가 주문을 연습할 때 사용하는 장갑. 손끝에 약한 마나 전도 처리가 되어 있다.
MAG_GLOVE_003,초록 마법 장갑,MAGE,GLOVE,10,0,0,30,10,0,0,4,2,0,2,0,0,0,0,0,0,0,980,294,초록빛 실로 짜인 장갑. 자연계 주문을 다룰 때 손끝의 떨림을 줄여준다.
MAG_GLOVE_004,푸른 마법 장갑,MAGE,GLOVE,15,0,0,45,15,0,0,6,3,0,3,0,0,0,0,0,0,0,1960,588,푸른 수정 가루가 스며든 장갑. 마력을 손끝에 모으기 쉽게 만들어졌다.
MAG_GLOVE_005,현자의 장갑,MAGE,GLOVE,20,0,0,60,20,0,0,8,4,0,5,0,0,0,0,0,0,0,3500,1050,현자가 직접 주석을 남겼다는 장갑. 손목 안쪽에 작은 룬 문자가 빼곡히 새겨져 있다.
MAG_SHOES_001,낡은 마법 신발,MAGE,SHOES,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,130,39,발끝이 해진 마법 신발. 마법 도서관의 먼지 냄새가 희미하게 남아 있다.
MAG_SHOES_002,견습 마도사 신발,MAGE,SHOES,5,0,0,15,5,0,0,2,2,0,0,0,1,0,0,0,0,0,390,117,견습생의 긴 수업을 견디도록 만든 신발. 조용히 걷기 좋게 밑창이 부드럽다.
MAG_SHOES_003,초록 마법 신발,MAGE,SHOES,10,0,0,30,10,0,0,4,2,0,0,0,2,0,0,0,1,0,910,273,숲길을 걷는 마도사를 위해 만든 신발. 풀잎에 닿아도 소리가 작다.
MAG_SHOES_004,푸른 마법 신발,MAGE,SHOES,15,0,0,45,15,0,0,5,3,0,0,0,3,0,0,0,2,0,1820,546,푸른 실로 마감한 마법 신발. 마나가 흐를 때 발걸음이 한결 가벼워진다.
MAG_SHOES_005,현자의 신발,MAGE,SHOES,20,0,0,60,20,0,0,7,4,0,0,0,4,0,0,0,3,0,3250,975,현자가 여러 왕국을 여행하며 신었다는 신발. 낡았지만 이상하게도 밑창이 닳지 않았다.
MAG_WEAPON_001,낡은 나무 지팡이,MAGE,WEAPON,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,360,108,마른 나뭇가지를 깎아 만든 지팡이. 초보 마법사가 마나의 흐름을 익히기에 적당하다.
MAG_WEAPON_002,견습 지팡이,MAGE,WEAPON,5,0,0,15,5,0,0,2,0,0,10,0,0,0,0,0,0,0,1080,324,마법학교에서 지급하는 기본 지팡이. 작은 보석이 박혀 있어 기초 주문을 안정적으로 돕는다.
MAG_WEAPON_003,마도사의 지팡이,MAGE,WEAPON,10,0,0,30,10,0,0,4,1,0,15,0,0,0,0,0,0,0,2520,756,여러 주문 실험을 거친 마도사의 지팡이. 손잡이에 남은 흠집마다 실패한 주문의 기억이 담겼다.
MAG_WEAPON_004,푸른 수정 지팡이,MAGE,WEAPON,15,0,0,45,15,0,0,6,2,0,22,0,0,0,0,0,0,0,5040,1512,푸른 수정이 박힌 지팡이. 수정 내부에서 희미한 빛이 맥박처럼 깜빡인다.
MAG_WEAPON_005,현자의 지팡이,MAGE,WEAPON,20,0,0,60,20,0,0,10,5,0,30,0,0,0,0,0,0,0,9000,2700,현자의 이름이 새겨진 지팡이. 강한 마나를 담아도 쉽게 흔들리지 않는다.
ARC_HAT_001,낡은 가죽 모자,ARCHER,HAT,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,120,36,낡은 가죽을 꿰매 만든 모자. 비바람을 막아주며 초보 사냥꾼의 시야를 가리지 않는다.
ARC_HAT_002,견습 궁수 모자,ARCHER,HAT,5,5,15,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,360,108,궁수 훈련생에게 지급되는 모자. 활시위를 당길 때 얼굴에 천이 닿지 않게 짧게 마감되었다.
ARC_HAT_003,사냥꾼 모자,ARCHER,HAT,10,10,30,0,0,3,6,0,0,0,0,2,0,0,0,0,0,0,840,252,숲을 누비는 사냥꾼들이 쓰는 모자. 나뭇잎과 흙빛이 섞여 주변에 잘 녹아든다.
ARC_HAT_004,명사수 모자,ARCHER,HAT,15,15,45,0,0,4,8,0,0,0,0,3,0,0,0,0,0,0,1680,504,명사수들이 착용하는 모자. 챙이 햇빛을 가려 먼 표적을 바라보기 좋다.
ARC_HAT_005,엘프의 모자,ARCHER,HAT,20,20,60,0,0,5,10,0,0,0,0,5,0,0,0,0,0,0,3000,900,엘프 장인이 만든 가벼운 모자. 바람이 불어도 머리에 자연스럽게 고정된다.
ARC_TOP_001,낡은 가죽 조끼,ARCHER,TOP,1,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,180,54,오래된 가죽 조끼. 가볍고 거칠어 초보 궁수가 첫 사냥에 입기 좋다.
ARC_TOP_002,견습 궁수 조끼,ARCHER,TOP,5,5,15,0,0,2,4,0,0,0,0,0,0,6,0,0,0,0,540,162,궁수 훈련생용 조끼. 어깨 움직임을 막지 않도록 소매가 짧다.
ARC_TOP_003,사냥꾼 조끼,ARCHER,TOP,10,10,30,0,0,3,6,0,0,0,0,0,0,10,0,0,0,0,1260,378,사냥 도구를 넣을 작은 주머니가 달린 조끼. 숲길을 오래 걷는 이들에게 실용적이다.
ARC_TOP_004,명사수 조끼,ARCHER,TOP,15,15,45,0,0,4,8,0,0,0,0,0,0,15,0,0,0,0,2520,756,정확한 사격 자세를 유지하도록 몸에 맞게 재단된 조끼. 군더더기 없는 디자인이 특징이다.
ARC_TOP_005,엘프의 조끼,ARCHER,TOP,20,20,60,0,0,5,10,0,0,0,0,0,0,22,0,0,0,0,4500,1350,부드러운 숲의 섬유로 만든 조끼. 착용하면 활을 당길 때 몸의 균형이 잘 잡힌다.
ARC_BOTTOM_001,낡은 가죽 바지,ARCHER,BOTTOM,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,160,48,군데군데 긁힌 흔적이 있는 가죽 바지. 낮은 풀숲을 헤치고 다니기 좋다.
ARC_BOTTOM_002,견습 궁수 바지,ARCHER,BOTTOM,5,5,15,0,0,2,3,0,0,0,0,0,0,5,0,0,0,0,480,144,훈련장에서 자주 쓰이는 궁수 바지. 달리기와 구르기 동작에 맞춰 제작되었다.
ARC_BOTTOM_003,사냥꾼 바지,ARCHER,BOTTOM,10,10,30,0,0,3,5,0,0,0,0,0,0,8,0,0,0,0,1120,336,숲속 사냥꾼들이 즐겨 입는 바지. 무릎 부분이 덧대어져 험한 지형에도 강하다.
ARC_BOTTOM_004,명사수 바지,ARCHER,BOTTOM,15,15,45,0,0,4,7,0,0,0,0,0,0,12,0,0,0,0,2240,672,명사수의 안정적인 하체 자세를 위해 만든 바지. 긴 사격 대기에도 불편함이 적다.
ARC_BOTTOM_005,엘프의 바지,ARCHER,BOTTOM,20,20,60,0,0,5,9,0,0,0,0,0,0,18,0,0,0,0,4000,1200,엘프의 숲에서 짜낸 섬유로 만든 바지. 가볍고 질겨 빠른 이동에 적합하다.
ARC_GLOVE_001,낡은 가죽 장갑,ARCHER,GLOVE,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,140,42,오래 사용해 손바닥이 반질반질해진 장갑. 활시위를 잡는 감각은 여전히 좋다.
ARC_GLOVE_002,견습 궁수 장갑,ARCHER,GLOVE,5,5,15,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,420,126,훈련생의 손을 보호하는 장갑. 활시위에 손가락이 쓸리지 않도록 보강되어 있다.
ARC_GLOVE_003,사냥꾼 장갑,ARCHER,GLOVE,10,10,30,0,0,2,4,0,0,2,0,3,0,0,0,0,0,0,980,294,사냥꾼들이 쓰는 실용적인 장갑. 손끝이 자유로워 화살을 빠르게 집기 좋다.
ARC_GLOVE_004,명사수 장갑,ARCHER,GLOVE,15,15,45,0,0,3,6,0,0,3,0,4,0,0,0,0,0,0,1960,588,정밀 사격을 위해 만든 장갑. 손가락 부분이 얇아 작은 움직임도 놓치지 않는다.
ARC_GLOVE_005,엘프의 장갑,ARCHER,GLOVE,20,20,60,0,0,4,8,0,0,5,0,6,0,0,0,0,0,0,3500,1050,엘프 장인이 제작한 장갑. 활시위를 당기는 순간 손끝에 바람이 감기는 듯하다.
ARC_SHOES_001,낡은 가죽 신발,ARCHER,SHOES,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,130,39,오래 신어 부드러워진 가죽 신발. 풀숲을 조용히 지나가기에 알맞다.
ARC_SHOES_002,견습 궁수 신발,ARCHER,SHOES,5,5,15,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,390,117,궁수 훈련생에게 지급되는 신발. 달리며 활을 쏘는 기초 훈련에 맞춰 제작되었다.
ARC_SHOES_003,사냥꾼 신발,ARCHER,SHOES,10,10,30,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,910,273,숲속 흔적을 따라 걷는 사냥꾼들의 신발. 흙길에서 쉽게 미끄러지지 않는다.
ARC_SHOES_004,명사수 신발,ARCHER,SHOES,15,15,45,0,0,3,5,0,0,0,0,0,0,0,0,0,2,0,1820,546,정확한 자세를 유지하기 위해 밑창을 단단히 만든 신발. 흔들림 없는 사격을 돕는다.
ARC_SHOES_005,엘프의 신발,ARCHER,SHOES,20,20,60,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,3250,975,엘프의 숲에서 만들어진 신발. 발걸음이 가벼워 마치 나뭇잎 위를 걷는 듯하다.
ARC_WEAPON_001,초보자 활,ARCHER,WEAPON,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,360,108,마을 사냥꾼이 손봐준 기본 활. 가볍고 단순해 활쏘기를 처음 배우기 좋다.
ARC_WEAPON_002,낡은 사냥 활,ARCHER,WEAPON,5,5,15,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,1080,324,오랫동안 짐승을 쫓던 사냥 활. 낡았지만 활대에는 익숙한 탄성이 남아 있다.
ARC_WEAPON_003,장궁,ARCHER,WEAPON,10,10,30,0,0,1,4,0,0,15,0,2,0,0,0,0,0,0,2520,756,긴 활대에서 강한 장력이 느껴지는 활. 멀리 있는 적을 겨누기 위해 제작되었다.
ARC_WEAPON_004,복합궁,ARCHER,WEAPON,15,15,45,0,0,2,6,0,0,22,0,4,0,0,0,0,0,0,5040,1512,"나무와 뿔, 힘줄을 조합해 만든 활. 짧은 크기에서도 강한 탄성을 낸다."
ARC_WEAPON_005,엘프의 활,ARCHER,WEAPON,20,20,60,0,0,5,10,0,0,30,0,6,0,0,0,0,0,0,9000,2700,엘프 장인이 만든 아름다운 활. 활대에 새겨진 잎사귀 문양이 은은하게 빛난다.
THF_HAT_001,낡은 두건,THIEF,HAT,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,120,36,빛바랜 천으로 만든 두건. 얼굴을 가리기에는 충분하지만 오래 버티긴 어렵다.
THF_HAT_002,견습 도적 두건,THIEF,HAT,5,0,5,0,15,0,2,0,4,0,0,0,2,0,0,0,0,0,360,108,도적 길드 신입에게 지급되는 두건. 눈에 띄지 않도록 어두운 색으로 염색되었다.
THF_HAT_003,암행 두건,THIEF,HAT,10,0,10,0,30,0,3,0,6,0,0,0,3,0,0,0,0,0,840,252,밤길을 걷는 암행자들이 쓰는 두건. 천이 얇아 숨소리를 막지 않는다.
THF_HAT_004,암살자 두건,THIEF,HAT,15,0,15,0,45,0,4,0,8,0,0,0,4,0,0,0,0,0,1680,504,암살 임무를 위해 제작된 두건. 얼굴의 윤곽이 드러나지 않도록 깊게 내려온다.
THF_HAT_005,흑풍 두건,THIEF,HAT,20,0,20,0,60,0,5,0,10,0,0,0,6,0,0,0,0,0,3000,900,검은 바람이라 불린 도적단의 두건. 착용자의 움직임을 그림자처럼 흐리게 만든다는 소문이 있다.
THF_TOP_001,낡은 도적 복장,THIEF,TOP,1,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,180,54,여러 번 꿰맨 흔적이 남은 도적 복장. 가볍지만 거친 움직임에는 익숙하다.
THF_TOP_002,견습 도적 복장,THIEF,TOP,5,0,5,0,15,0,2,0,4,0,0,0,0,6,0,0,0,0,540,162,도적 길드 훈련생들이 입는 복장. 몸을 크게 움직여도 천이 걸리지 않는다.
THF_TOP_003,암행 복장,THIEF,TOP,10,0,10,0,30,0,3,0,6,0,0,0,0,10,0,0,0,0,1260,378,어두운 골목과 숲길을 오가기 위한 복장. 소리가 나지 않도록 장식이 거의 없다.
THF_TOP_004,암살자 복장,THIEF,TOP,15,0,15,0,45,0,4,0,8,0,0,0,0,15,0,0,0,0,2520,756,암살자들이 임무 중 착용하는 복장. 품 안쪽에 작은 표창 주머니가 숨겨져 있다.
THF_TOP_005,흑풍 복장,THIEF,TOP,20,0,20,0,60,0,5,0,10,0,0,0,0,22,0,0,0,0,4500,1350,흑풍 도적단의 이름이 붙은 복장. 움직일 때 천자락이 바람처럼 흩날린다.
THF_BOTTOM_001,낡은 도적 바지,THIEF,BOTTOM,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,160,48,오래된 도적 바지. 허리끈이 느슨하지만 빠른 움직임을 방해하지 않는다.
THF_BOTTOM_002,견습 도적 바지,THIEF,BOTTOM,5,0,5,0,15,0,2,0,3,0,0,0,0,5,0,0,0,0,480,144,훈련용으로 만든 도적 바지. 구르기와 도약 동작을 반복해도 쉽게 찢어지지 않는다.
THF_BOTTOM_003,암행 바지,THIEF,BOTTOM,10,0,10,0,30,0,3,0,5,0,0,0,0,8,0,0,0,0,1120,336,암행자가 긴 잠입 중 착용하는 바지. 어두운 색감으로 밤길에 잘 녹아든다.
THF_BOTTOM_004,암살자 바지,THIEF,BOTTOM,15,0,15,0,45,0,4,0,7,0,0,0,0,12,0,0,0,0,2240,672,조용한 발놀림을 위해 제작된 바지. 무릎과 발목 부분이 단단히 조여진다.
THF_BOTTOM_005,흑풍 바지,THIEF,BOTTOM,20,0,20,0,60,0,5,0,9,0,0,0,0,18,0,0,0,0,4000,1200,흑풍 도적단의 기동성을 상징하는 바지. 빠르게 달려도 천이 다리에 감기지 않는다.
THF_GLOVE_001,낡은 도적 장갑,THIEF,GLOVE,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,140,42,손끝이 닳은 도적 장갑. 오래된 자물쇠와 표창을 다룬 흔적이 남아 있다.
THF_GLOVE_002,견습 도적 장갑,THIEF,GLOVE,5,0,5,0,15,0,2,0,2,1,0,0,2,0,0,0,0,0,420,126,도적 훈련생이 사용하는 장갑. 손가락을 자유롭게 움직일 수 있도록 얇게 제작되었다.
